date,spy_ret_5d,spy_ret_21d,vix_5d_change,vix_percentile_jump_10d,realized_vol_21d_percentile_jump,trend_break,spy_drawdown,vix_level,spy_drawdown_speed_5d,spy_drawdown_speed_21d,vix_shock_5d,vix_percentile_jump,realized_vol_jump,trigger_count,crash_onset
2007-05-21,0.013352393816166819,0.026376376015040393,-0.047277925903194795,0.023809523809523836,0.28571428571428575,False,0.0,12.760000228881836,False,False,False,False,True,1,False
2007-05-22,0.012286208703737644,0.029447453978288074,-0.06780869334368012,-0.04166666666666663,0.20634920634920634,False,-0.0005242879611326856,13.300000190734863,False,False,False,False,False,0,False
2007-05-23,0.005540882497688804,0.02916567795311087,-0.019259276213469345,0.0813492063492064,0.2103174603174603,False,-0.0013104003449521118,13.0600004196167,False,False,False,False,False,0,False
2007-05-24,-0.0015868719067799741,0.010569934542144166,0.042190946348444,0.04761904761904756,0.051587301587301515,False,-0.001179310601453376,13.239999771118164,False,False,False,False,False,0,False
2007-05-25,-0.006093542686825604,0.01363254830021332,0.045454538660057775,0.0892857142857143,0.02777777777777779,False,-0.010221591375516259,14.079999923706055,False,False,False,False,False,0,False
2007-05-29,-0.0019665960736429122,0.018123488649254504,0.017293198416384437,0.003968253968253954,0.031746031746031744,False,-0.006093542686825604,13.34000015258789,False,False,False,False,False,0,False
2007-05-30,0.006954099558267979,0.03499881928893789,-0.0176110634395672,-0.1428571428571428,0.047619047619047616,False,-0.002489852972129669,13.529999732971191,False,False,False,False,False,0,False
2007-05-31,0.0057731948208323836,0.0312776380535813,-0.014350421727179152,-0.06944444444444442,0.00793650793650802,False,0.0,12.829999923706055,False,False,False,False,False,0,False
2007-06-01,0.019992515434047453,0.03036042211471046,-0.09232955950135291,-0.11309523809523803,-0.023809523809523836,False,-0.0010416415100814591,13.050000190734863,False,False,False,False,False,0,False
2007-06-04,0.015887586776560658,0.024941187664961895,-0.0037481401921246604,0.11904761904761896,-0.1111111111111111,False,0.0,12.779999732971191,False,False,False,False,False,0,False
2007-06-05,0.008211423820810415,0.017029900547902876,0.007391011340971199,0.06746031746031744,-0.003968253968254065,False,0.0,13.289999961853027,False,False,False,False,False,0,False
2007-06-06,-0.010684893239336302,0.005896019571117517,0.1590023362419286,0.23015873015873012,0.15873015873015872,False,-0.003957727784735798,13.630000114440918,False,False,False,False,False,0,False
2007-06-07,-0.027524306101183282,-0.010945102875267843,0.30727963345582987,0.27976190476190477,0.18253968253968256,False,-0.014665528994876498,14.869999885559082,False,False,True,True,False,2,True
2007-06-08,-0.019730426361387554,-0.0007940635735542712,0.16118939457424974,0.09523809523809523,0.14682539682539686,False,-0.03244608155902673,17.059999465942383,False,False,False,False,False,0,False
2007-06-11,-0.018169482151156213,0.011498995831312309,0.1068472596215082,0.15873015873015872,0.11904761904761896,False,-0.019857281830897633,14.84000015258789,False,False,False,False,False,0,False
2007-06-12,-0.02501927837822815,-0.008021443198835576,0.22303741279005296,0.23412698412698418,0.12301587301587302,False,-0.018169482151156213,14.710000038146973,False,False,False,False,False,0,False
2007-06-13,0.00032897953531740853,0.009034337668621273,-0.009414952548770006,0.2658730158730158,0.22619047619047616,False,-0.028877986669772482,16.670000076293945,False,False,False,True,False,1,False
2007-06-14,0.025217600965663278,0.015208367088796138,-0.20046888802353846,0.125,0.22619047619047616,False,-0.014341374118473138,14.729999542236328,False,False,False,False,False,0,False
2007-06-15,0.017807904337568736,0.014047983377567075,-0.060646938204218404,0.18253968253968256,0.24603174603174605,False,-0.00804669293101834,13.640000343322754,False,False,False,False,False,0,False
2007-06-18,0.01486407506957832,0.01486407506957832,-0.08769544245463712,0.01388888888888895,0.29365079365079366,False,-0.0024029940685776907,13.9399995803833,False,False,False,False,True,1,False
2007-06-19,0.02860476350150032,0.008587301366372646,-0.22915414981050652,-0.1507936507936508,0.19841269841269848,False,-0.0035754796282480017,13.420000076293945,False,False,False,False,False,0,False
2007-06-20,-0.0006490374787034847,-0.0049074312947184895,-0.004073283625728674,0.011904761904761973,0.1507936507936508,False,-0.0010992711473605254,12.850000381469727,False,False,False,False,False,0,False
2007-06-21,-0.0014714870144142411,0.001410957142043534,0.04178883287955726,-0.14682539682539686,0.12698412698412698,False,-0.014981103507877624,14.670000076293945,False,False,False,False,False,0,False
2007-06-22,-0.016462797541937912,-0.008141852719047327,0.12984221478483926,0.09523809523809523,0.10317460317460314,False,-0.00950633934127565,14.210000038146973,False,False,False,False,False,0,False
2007-06-25,-0.02001450626263701,-0.003867193150015047,0.2406855084853563,0.12698412698412698,0.12301587301587302,False,-0.018826231605670096,15.75,False,False,False,False,False,0,False
2007-06-26,-0.03249185623030593,-0.01820093772950515,0.47003881936755887,0.06746031746031744,0.11904761904761907,False,-0.02351842443147356,16.649999618530273,False,False,True,False,False,1,False
2007-06-27,-0.004896004092105777,-0.007828207431479162,0.058623016510202186,0.08333333333333337,0.1428571428571429,False,-0.03355541001758833,18.889999389648438,False,False,False,False,False,0,False
2007-06-28,-0.01052768283900718,-0.0159745904719778,0.09359605349300826,0.19047619047619047,0.11507936507936511,False,-0.019803760055904562,15.529999732971191,False,False,False,False,False,0,False
2007-06-29,-0.0007967267326225436,-0.0146208782621291,0.030476161411830294,0.19841269841269837,0.11507936507936511,False,-0.019933942454737896,15.539999961853027,False,False,False,False,False,0,False
2007-07-02,0.013081280297663866,-0.010616760378237555,-0.07507507679512726,0.21626984126984128,0.13095238095238093,False,-0.019607958976297968,16.229999542236328,False,False,False,False,False,0,False
2007-07-03,0.027311619686023247,-0.007160242928373917,-0.21016407843454032,0.28968253968253965,0.17063492063492058,False,-0.010744795235957172,15.399999618530273,False,False,False,True,False,1,False
2007-07-05,0.011835388161469007,-0.004261896724098491,-0.0032195873531607466,0.06746031746031744,0.09523809523809523,False,-0.007160242928373917,14.920000076293945,False,False,False,False,False,0,False
2007-07-06,0.017289386405432428,0.011850115524707716,-0.05276703325850196,0.051587301587301626,0.05555555555555558,False,-0.008202757081753664,15.479999542236328,False,False,False,False,False,0,False
2007-07-09,0.017748639929249688,0.03125277809538973,-0.065927278188745,-0.03968253968253965,-0.04365079365079361,False,-0.0029892016829889956,14.720000267028809,False,False,False,False,False,0,False
2007-07-10,-0.005731658426430086,0.0035121555267942917,0.1409090993536688,0.015873015873015928,-0.011904761904761862,False,-0.0022073336506661656,15.15999984741211,False,False,False,False,False,0,False
2007-07-11,-0.0022974201343316514,0.008889792093491167,0.11528145472916984,-0.059523809523809534,-0.011904761904761973,False,-0.016414868166232832,17.56999969482422,False,False,False,False,False,0,False
2007-07-12,0.01452231798013326,0.036121541927779166,0.003875996213888122,-0.005952380952380931,-0.06349206349206349,False,-0.009441212976435187,16.639999389648438,False,False,False,False,False,0,False
2007-07-13,0.012223820383873818,0.02388195338304011,0.029211911936212198,-0.051587301587301515,-0.0992063492063493,False,0.0,15.539999961853027,False,False,False,False,False,0,False
2007-07-16,0.011299821309839642,0.017253068256747994,0.02836413651080516,-0.023809523809523836,-0.12301587301587302,False,0.0,15.149999618530273,False,False,False,False,False,0,False
2007-07-17,0.025377835594796894,0.01097576236336617,-0.1104154589686639,0.015873015873015817,-0.14682539682539686,False,-0.0001293443336414235,15.59000015258789,False,False,False,False,False,0,False
2007-07-18,0.01631664029209312,0.010333806382049726,-0.03846150319251662,0.07539682539682546,-0.1507936507936508,False,-0.0006457460105182555,15.630000114440918,False,False,False,False,False,0,False
2007-07-19,0.004404657882374208,0.011744588175836457,-0.01994854699985049,-0.02777777777777779,-0.14682539682539686,False,-0.0024541275372762517,16.0,False,False,False,False,False,0,False
2007-07-20,-0.008718128660676339,0.015614790843284876,0.1188119597183066,0.13095238095238093,-0.13888888888888895,False,0.0,15.229999542236328,False,False,False,False,False,0,False
2007-07-23,-0.005554161965769633,0.013093834377142954,0.07825524704385423,0.08333333333333337,-0.04365079365079372,False,-0.010124992962617374,16.950000762939453,False,False,False,False,False,0,False
2007-07-24,-0.022293887969124793,0.00498199712977665,0.18682016002813562,0.023809523809523836,0.015873015873015817,False,-0.00709396007109131,16.809999465942383,False,False,False,False,False,0,False
2007-07-25,-0.018514707197388902,0.01188005141127113,0.1312500238418579,0.03968253968253965,0.003968253968253954,False,-0.024311938831800717,18.549999237060547,False,False,False,False,False,0,False
2007-07-26,-0.045464101554320346,-0.001820774645734935,0.3617859746877421,0.09722222222222221,0.08333333333333326,False,-0.022312939410170984,18.100000381469727,False,False,True,False,False,1,False
2007-07-27,-0.054658273831434845,-0.03517316436644735,0.4259586423819375,0.13888888888888884,0.134920634920635,False,-0.045464101554320346,20.739999771118164,True,False,True,False,False,2,True
2007-07-30,-0.04280085908423825,-0.019949794335605175,0.241522992402035,0.08333333333333337,0.16666666666666663,False,-0.06422985215616006,24.170000076293945,False,False,False,False,False,0,False
2007-07-31,-0.03688071910412405,-0.03131068093496314,0.2679246051274058,0.07936507936507942,0.18253968253968256,False,-0.0495911915699776,20.8700008392334,False,False,False,False,False,0,False
2007-08-01,-0.03416662995009134,-0.035311836130591634,0.3077347832835755,0.06349206349206349,0.1706349206349207,False,-0.06029601614899249,23.520000457763672,False,False,True,False,False,1,False
2007-08-02,-0.002836899287742334,-0.031114345104919727,0.02314366188686079,0.11111111111111116,0.1706349206349207,False,-0.05571721141633612,23.670000076293945,False,False,False,False,False,0,False
