date,variant,gross_before,gross_after,scale,projection_reason
2008-08-20,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-08-21,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-08-22,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-08-25,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-08-26,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-08-27,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-08-28,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-08-29,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-02,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-03,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-04,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-05,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-08,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-09,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-10,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-11,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-12,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-15,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-16,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-17,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-18,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-19,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-22,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-23,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-24,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-25,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-26,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-29,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-09-30,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-10-01,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-10-02,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-10-03,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-10-06,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-10-07,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-10-08,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-10-09,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
2008-10-10,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
